fold,horizon,seed,lookback,model_family,pretraining_objective,accuracy,macro_f1,mcc,ece,brier_score,nll,class_f1_down,class_f1_stationary,class_f1_up,checkpoint_hash,prediction_file,status,run_id,run_dir,architecture_hash,preprocessing_hash
1,20,0,20,matrix_transformer,masked_reconstruction,0.3727395903903278,0.36354979548834115,0.0770581018601606,0.12720469047444657,0.7030712076303955,1.1645823357429521,0.3018994039993316,0.4232156222358304,0.36553436022986163,4b50b38d93a6b2aade90c8e8a4c9ee5dea2a7c4b0a5e5fdac973f21eff7a524b,runs/fold_1/horizon_20/seed_0/lookback_20/masked_reconstruction/predictions.csv,skipped_existing,fold_1__h20__seed_0__lb20__masked_reconstruction,runs/fold_1/horizon_20/seed_0/lookback_20/masked_reconstruction,e7f8868ea6e634cf13e6e2ae80b426adfe694d4645a4bc18ddc7c4f1b72e8968,605c8d05d6e3b7349c990584950c2fe82228297c7faae845310c55bb7a2a972f
1,20,0,20,matrix_transformer,next_field,0.4813434780342905,0.21662474421440844,,0.1298107346529351,0.6845170189988262,1.1345758618787665,0.0,0.6498742326432253,0.0,3467c394c28b657f7effc529ea1a3201aafc96816fecdbaef4fd9792cde3c17e,runs/fold_1/horizon_20/seed_0/lookback_20/next_field/predictions.csv,skipped_existing,fold_1__h20__seed_0__lb20__next_field,runs/fold_1/horizon_20/seed_0/lookback_20/next_field,e7f8868ea6e634cf13e6e2ae80b426adfe694d4645a4bc18ddc7c4f1b72e8968,605c8d05d6e3b7349c990584950c2fe82228297c7faae845310c55bb7a2a972f
1,20,1,20,matrix_transformer,none,0.38389181301787484,0.3503696282203564,0.017326130170381697,0.10295167990356163,0.6962300885437854,1.1636305909957638,0.26716270417950355,0.4845360824742268,0.2994100980073389,e894cc138829e18082bcd98d5ae2e0e9c29ece3b03a5ea40c74df75f2ed44be2,runs/fold_1/horizon_20/seed_1/lookback_20/supervised/predictions.csv,skipped_existing,fold_1__h20__seed_1__lb20__supervised,runs/fold_1/horizon_20/seed_1/lookback_20/supervised,9d89fd8fdf26dc1c5cf910686826b327d17b564be611953e846364117ab0e2f4,605c8d05d6e3b7349c990584950c2fe82228297c7faae845310c55bb7a2a972f
1,20,1,20,matrix_transformer,masked_reconstruction,0.36862264839230807,0.2928189244572948,-0.011836470352704995,0.11556259676386205,0.6772042504827778,1.1135941184136842,0.06789488450388105,0.4842863149043515,0.3262755739636519,074640ecc1a76cabc87ef4c0f169b8956c3e9965982d0b9aec2ad4d1444a40a4,runs/fold_1/horizon_20/seed_1/lookback_20/masked_reconstruction/predictions.csv,skipped_existing,fold_1__h20__seed_1__lb20__masked_reconstruction,runs/fold_1/horizon_20/seed_1/lookback_20/masked_reconstruction,9d89fd8fdf26dc1c5cf910686826b327d17b564be611953e846364117ab0e2f4,605c8d05d6e3b7349c990584950c2fe82228297c7faae845310c55bb7a2a972f
1,20,1,20,matrix_transformer,next_field,0.4813434780342905,0.21662474421440844,,0.10775622797451036,0.6663260440829147,1.101663006937073,0.0,0.6498742326432253,0.0,0b901431e9affd04045df139617abb5119b23e0b691272eef6d9bb918e151ec2,runs/fold_1/horizon_20/seed_1/lookback_20/next_field/predictions.csv,skipped_existing,fold_1__h20__seed_1__lb20__next_field,runs/fold_1/horizon_20/seed_1/lookback_20/next_field,9d89fd8fdf26dc1c5cf910686826b327d17b564be611953e846364117ab0e2f4,605c8d05d6e3b7349c990584950c2fe82228297c7faae845310c55bb7a2a972f
1,20,2,20,matrix_transformer,none,0.3982229402261712,0.362063627236223,0.03685619495064287,0.05064173266201334,0.6528675642658373,1.0812174098735192,0.30099815873631164,0.5023551943682385,0.282837528604119,3b166cdf387653dad938feb4498f24ef5dfa597eb62974d30b18d45e0636f4e3,runs/fold_1/horizon_20/seed_2/lookback_20/supervised/predictions.csv,skipped_existing,fold_1__h20__seed_2__lb20__supervised,runs/fold_1/horizon_20/seed_2/lookback_20/supervised,74ea7bfc1c88b2281f1dbb7bfa24bcfc38669bbf9197ee337f806498c0081c0d,605c8d05d6e3b7349c990584950c2fe82228297c7faae845310c55bb7a2a972f
1,20,2,20,matrix_transformer,masked_reconstruction,0.36674657355776746,0.2800749434688883,-0.014018258792213028,0.1531906869793753,0.6913972876824471,1.135437956361733,0.025648732591924656,0.48489968321013727,0.3296764146046029,980ee51ccf6f7652fff61625e01408baa61da03610e441e56b9b990c25cc723c,runs/fold_1/horizon_20/seed_2/lookback_20/masked_reconstruction/predictions.csv,skipped_existing,fold_1__h20__seed_2__lb20__masked_reconstruction,runs/fold_1/horizon_20/seed_2/lookback_20/masked_reconstruction,74ea7bfc1c88b2281f1dbb7bfa24bcfc38669bbf9197ee337f806498c0081c0d,605c8d05d6e3b7349c990584950c2fe82228297c7faae845310c55bb7a2a972f
1,20,2,20,matrix_transformer,next_field,0.4813434780342905,0.21662474421440844,,0.13844118040196712,0.681559155119172,1.1532346132057358,0.0,0.6498742326432253,0.0,2ea19668584313bfe3eca88ec3f734097f9295682ee77e99d84218838e070d75,runs/fold_1/horizon_20/seed_2/lookback_20/next_field/predictions.csv,skipped_existing,fold_1__h20__seed_2__lb20__next_field,runs/fold_1/horizon_20/seed_2/lookback_20/next_field,74ea7bfc1c88b2281f1dbb7bfa24bcfc38669bbf9197ee337f806498c0081c0d,605c8d05d6e3b7349c990584950c2fe82228297c7faae845310c55bb7a2a972f
1,50,0,20,matrix_transformer,none,0.3645057063942884,0.3558359411227859,0.044442355727443386,0.0831653807010802,0.6772069556412726,1.1123395027669283,0.4000246244767299,0.29339878304443423,0.37408441584719354,3d52eabfd3c6760cc915b078b983a5f78408204e8575770edefe5d7d7d548f93,runs/fold_1/horizon_50/seed_0/lookback_20/supervised/predictions.csv,skipped_existing,fold_1__h50__seed_0__lb20__supervised,runs/fold_1/horizon_50/seed_0/lookback_20/supervised,21396c9c2627155a8c4c1be7dbfb178bb7158b530a898f03eca653272cb91d6d,9176ca9fccc4b328310c2810bdea42eeaae86923be45fe545338e3504cdb490c
1,50,0,20,matrix_transformer,masked_reconstruction,0.43832403981447704,0.42743696026092787,0.15116901518422682,0.07386993387898119,0.6601294952334508,1.0871993380831533,0.4308958019612884,0.3608090474119182,0.49060603140957704,4b50b38d93a6b2aade90c8e8a4c9ee5dea2a7c4b0a5e5fdac973f21eff7a524b,runs/fold_1/horizon_50/seed_0/lookback_20/masked_reconstruction/predictions.csv,skipped_existing,fold_1__h50__seed_0__lb20__masked_reconstruction,runs/fold_1/horizon_50/seed_0/lookback_20/masked_reconstruction,21396c9c2627155a8c4c1be7dbfb178bb7158b530a898f03eca653272cb91d6d,9176ca9fccc4b328310c2810bdea42eeaae86923be45fe545338e3504cdb490c
